"Extension","Link"
"AHA Music - Song Finder for Browser","https://microsoftedge.microsoft.com/addons/detail/ejfccgmelcclnoadalcepdmnpgcnglfc"
"Auto HD/4k/8k for YouTube™ - YouTube™ Auto HD","https://microsoftedge.microsoft.com/addons/detail/fjdmkanbdloodhegphphhklnjfngoffa"
"Control Panel for Twitter","https://chrome.google.com/webstore/detail/kpmjjdhbcfebfjgdnpjagcndoelnidfj"
"FastForward","https://microsoftedge.microsoft.com/addons/detail/ldcclmkclhomnpcnccgbgleikchbnecl"
"Feedbro","https://microsoftedge.microsoft.com/addons/detail/pdfbckdfhgaohcfdkcgpggcifmalimfd"
"GCalPlus","https://chrome.google.com/webstore/detail/mjelhipeelammmhpghkpigkdonihkakj"
"Google Dictionary (by Google)","https://chrome.google.com/webstore/detail/mgijmajocgfcbeboacabfgobmjgjcoja"
"Google Docs Offline","https://chrome.google.com/webstore/detail/ghbmnnjooekpmoecnnnilnnbdlolhkhi"
"Google Translate","https://chrome.google.com/webstore/detail/aapbdbdomjkkjkaonfhkkikfgjllcleb"
"Google Trends Supercharged – Glimpse","https://microsoftedge.microsoft.com/addons/detail/ocmojhiloccgbpjnkeiooioedaklapap"
"Grammarly: Grammar Checker and Writing App","https://microsoftedge.microsoft.com/addons/detail/cnlefmmeadmemmdciolhbnfeacpdfbkd"
"History Trends Unlimited","https://chrome.google.com/webstore/detail/pnmchffiealhkdloeffcdnbgdnedheme"
"Open New Tab After Current Tab","https://microsoftedge.microsoft.com/addons/detail/deebimacbjlpdcfbpacpckoccjnojacb"
"Remove Twitch Recommended Channels, Live Chat","https://microsoftedge.microsoft.com/addons/detail/lgocgefbhcjkcogffojgphffcpcgopjh"
"Ruffle","https://chrome.google.com/webstore/detail/donbcfbmhbcapadipfkeojnmajbakjdc"
"Search G. Calendar Tasks (By Natfluence)","https://chrome.google.com/webstore/detail/hbbihbhfopbfekplgcaoaacnhpjdkbdf"
"Shazam: Find song names from your browser","https://chrome.google.com/webstore/detail/mmioliijnhnoblpgimnlajmefafdfilb"
"Shortcut Forwarding Tool","https://chrome.google.com/webstore/detail/clnalilglegcjmlgenoppklmfppddien"
"SponsorBlock for YouTube - Skip Sponsorships","https://microsoftedge.microsoft.com/addons/detail/mbmgnelfcpoecdepckhlhegpcehmpmji"
"Tampermonkey","https://microsoftedge.microsoft.com/addons/detail/iikmkjmpaadaobahmlepeloendndfphd"
"TinEye Reverse Image Search","https://microsoftedge.microsoft.com/addons/detail/immelfdfeiibcohphgicgbpcpebmogji"
"Tweaks for YouTube","https://microsoftedge.microsoft.com/addons/detail/nnhifoobfibjmlkejadjmcdckkjbljcp"
"uBlock Origin","https://microsoftedge.microsoft.com/addons/detail/odfafepnkmbhccpbejgmiehpchacaeak"
"Unhook - Remove YouTube Recommended Videos","https://microsoftedge.microsoft.com/addons/detail/hebpjnnclppdnfghdnmhgdljmjpfhggk"
"Vimium C - All by Keyboard","https://microsoftedge.microsoft.com/addons/detail/aibcglbfblnogfjhbcmmpobjhnomhcdo"
"YouTube Upload Time","https://chrome.google.com/webstore/detail/nenoecmaibjcahoahnmeinahlapheblg"
